"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","shape_id","peak_offpeak"
"1","90950CE3","EMDE_201_6156","Babylon","6156","0","DF671E6C","0"
"1","8F44EFAD","EMDE_201_6157","Penn Station","6157","1","DF671E6CW","0"
"1","28C2D867","EMDE_201_6157_1","Penn Station","6157","1","A8F61878W","0"
"1","90950CE3","EMDE_201_6160","Babylon","6160","0","DF671E6C","0"
"1","8F44EFAD","EMDE_201_6161","Penn Station","6161","1","DF671E6CW","0"
"1","28C2D867","EMDE_201_6161_1","Penn Station","6161","1","A8F61878W","0"
"1","90950CE3","EMDE_201_6162","Babylon","6162","0","DF671E6C","0"
"1","90950CE3","EMDE_201_6163","Penn Station","6163","1","DF671E6CW","0"
"1","8F44EFAD","EMDE_201_6165","Penn Station","6165","1","DF671E6CW","0"
"1","28C2D867","EMDE_201_6165_1","Penn Station","6165","1","A8F61878W","0"
"1","90950CE3","EMDE_201_6166","Babylon","6166","0","DF671E6C","0"
"1","90950CE3","EMDE_201_6167","Penn Station","6167","1","DF671E6CW","0"
"1","90950CE3","EMDE_201_6168","Babylon","6168","0","DF671E6C","0"
"1","8F44EFAD","EMDE_201_6169","Penn Station","6169","1","DF671E6CW","0"
"1","28C2D867","EMDE_201_6169_1","Penn Station","6169","1","A8F61878W","0"
"1","90950CE3","EMDE_201_6170","Babylon","6170","0","DF671E6C","0"
"1","90950CE3","EMDE_201_6171","Penn Station","6171","1","DF671E6CW","0"
"1","8F44EFAD","EMDE_201_6173","Penn Station","6173","1","DF671E6CW","0"
"1","28C2D867","EMDE_201_6173_1","Penn Station","6173","1","A8F61878W","0"
"1","90950CE3","EMDE_201_6174","Babylon","6174","0","DF671E6C","0"
"1","8F44EFAD","EMDE_201_6175","Penn Station","6175","1","DF671E6CW","0"
"1","28C2D867","EMDE_201_6175_1","Penn Station","6175","1","A8F61878W","0"
"1","90950CE3","EMDE_201_6176","Babylon","6176","0","DF671E6C","0"
"1","90950CE3","EMDE_201_6178","Babylon","6178","0","DF671E6C","0"
"1","8F44EFAD","EMDE_201_6179","Penn Station","6179","1","DF671E6CW","0"
"1","28C2D867","EMDE_201_6179_1","Penn Station","6179","1","A8F61878W","0"
"1","90950CE3","EMDE_201_6181","Penn Station","6181","1","DF671E6CW","0"
"1","90950CE3","EMDE_201_6182","Babylon","6182","0","DF671E6C","0"
"1","8F44EFAD","EMDE_201_6183","Penn Station","6183","1","DF671E6CW","0"
"1","28C2D867","EMDE_201_6183_1","Penn Station","6183","1","A8F61878W","0"
"1","90950CE3","EMDE_201_6184","Babylon","6184","0","DF671E6C","0"
"1","90950CE3","EMDE_201_6186","Babylon","6186","0","DF671E6C","0"
"1","8F44EFAD","EMDE_201_6189","Penn Station","6189","1","DF671E6CW","0"
"1","28C2D867","EMDE_201_6189_1","Penn Station","6189","1","A8F61878W","0"
"1","90950CE3","EMDE_201_6190","Babylon","6190","0","DF671E6C","0"
"1","8F44EFAD","EMDE_201_6191","Penn Station","6191","1","DF671E6CW","0"
"1","28C2D867","EMDE_201_6191_1","Penn Station","6191","1","A8F61878W","0"
"1","90950CE3","EMDE_201_6192","Babylon","6192","0","DF671E6C","0"
"1","90950CE3","EMDE_201_6193","Penn Station","6193","1","DF671E6CW","0"
"1","90950CE3","EMDE_201_6194","Babylon","6194","0","DF671E6C","0"
"1","8F44EFAD","EMDE_201_6195","Penn Station","6195","1","DF671E6CW","0"
"1","28C2D867","EMDE_201_6195_1","Penn Station","6195","1","A8F61878W","0"
"1","90950CE3","EMDE_201_6198","Babylon","6198","0","DF671E6C","0"
"1","90950CE3","EMDE_201_6201","Grand Central","6201","1","88D56B42W","0"
"1","90950CE3","EMDE_201_6202","Babylon","6202","0","88D56B42","0"
"1","90950CE3","EMDE_201_6205","Grand Central","6205","1","88D56B42W","0"
"1","90950CE3","EMDE_201_6207","Grand Central","6207","1","88D56B42W","0"
"1","90950CE3","EMDE_201_6209","Grand Central","6209","1","88D56B42W","0"
"1","90950CE3","EMDE_201_6210","Babylon","6210","0","88D56B42","0"
"1","90950CE3","EMDE_201_6212","Babylon","6212","0","88D56B42","0"
"1","90950CE3","EMDE_201_6213","Grand Central","6213","1","88D56B42W","0"
"1","90950CE3","EMDE_201_6214","Babylon","6214","0","88D56B42","0"
"1","90950CE3","EMDE_201_6215","Grand Central","6215","1","88D56B42W","0"
"1","90950CE3","EMDE_201_6216","Babylon","6216","0","88D56B42","0"
"1","90950CE3","EMDE_201_6217","Grand Central","6217","1","88D56B42W","0"
"1","90950CE3","EMDE_201_6218","Babylon","6218","0","88D56B42","0"
"1","90950CE3","EMDE_201_6219","Grand Central","6219","1","88D56B42W","0"
"1","90950CE3","EMDE_201_6220","Babylon","6220","0","88D56B42","0"
"1","90950CE3","EMDE_201_6250","Babylon","6250","0","88D56B42","0"
"1","90950CE3","EMDE_201_6251","Grand Central","6251","1","88D56B42W","0"
"1","90950CE3","EMDE_201_6252","Babylon","6252","0","88D56B42","0"
"1","90950CE3","EMDE_201_6253","Grand Central","6253","1","88D56B42W","0"
"1","90950CE3","EMDE_201_6254","Babylon","6254","0","88D56B42","0"
"1","90950CE3","EMDE_201_6255","Grand Central","6255","1","88D56B42W","0"
"1","90950CE3","EMDE_201_6256","Babylon","6256","0","88D56B42","0"
"1","90950CE3","EMDE_201_6257","Grand Central","6257","1","88D56B42W","0"
"1","90950CE3","EMDE_201_6259","Grand Central","6259","1","88D56B42W","0"
"1","90950CE3","EMDE_201_6260","Babylon","6260","0","88D56B42","0"
"1","90950CE3","EMDE_201_6261","Grand Central","6261","1","88D56B42W","0"
"1","90950CE3","EMDE_201_6262","Babylon","6262","0","88D56B42","0"
"1","90950CE3","EMDE_201_6264","Babylon","6264","0","88D56B42","0"
"1","90950CE3","EMDE_201_6265","Grand Central","6265","1","88D56B42W","0"
"1","90950CE3","EMDE_201_6266","Babylon","6266","0","88D56B42","0"
"1","90950CE3","EMDE_201_6267","Grand Central","6267","1","88D56B42W","0"
"1","90950CE3","EMDE_201_6268","Babylon","6268","0","88D56B42","0"
"1","90950CE3","EMDE_201_6269","Grand Central","6269","1","88D56B42W","0"
"1","90950CE3","EMDE_201_6270","Babylon","6270","0","88D56B42","0"
"1","90950CE3","EMDE_201_6271","Grand Central","6271","1","88D56B42W","0"
"1","90950CE3","EMDE_201_6272","Babylon","6272","0","88D56B42","0"
"1","90950CE3","EMDE_201_6273","Grand Central","6273","1","88D56B42W","0"
"1","90950CE3","EMDE_201_6274","Babylon","6274","0","88D56B42","0"
"1","90950CE3","EMDE_201_6275","Grand Central","6275","1","88D56B42W","0"
"3","90950CE3","EMDE_201_6502","Oyster Bay","6502","0","FBDED0B3","0"
"3","90950CE3","EMDE_201_6503","Jamaica","6503","1","FBDED0B3W","0"
"3","435F4246","EMDE_201_6507","Jamaica","6507","1","FBDED0B3W","0"
"3","44AA6721","EMDE_201_6507_2","Jamaica","6507","1","998A6F25W","0"
"3","435F4246","EMDE_201_6508","Oyster Bay","6508","0","FBDED0B3","0"
"3","44AA6721","EMDE_201_6508_2","Locust Valley","6508","0","998A6F25","0"
"3","435F4246","EMDE_201_6511","Jamaica","6511","1","FBDED0B3W","0"
"3","44AA6721","EMDE_201_6511_2","Jamaica","6511","1","998A6F25W","0"
"3","90950CE3","EMDE_201_6512","Oyster Bay","6512","0","FBDED0B3","0"
"3","90950CE3","EMDE_201_6515","Jamaica","6515","1","FBDED0B3W","0"
"3","90950CE3","EMDE_201_6550","Oyster Bay","6550","0","FBDED0B3","0"
"3","90950CE3","EMDE_201_6553","Jamaica","6553","1","FBDED0B3W","0"
"3","90950CE3","EMDE_201_6554","Oyster Bay","6554","0","FBDED0B3","0"
"3","90950CE3","EMDE_201_6557","Jamaica","6557","1","FBDED0B3W","0"
"3","90950CE3","EMDE_201_6558","Oyster Bay","6558","0","FBDED0B3","0"
"3","90950CE3","EMDE_201_6563","Jamaica","6563","1","FBDED0B3W","0"
"3","90950CE3","EMDE_201_6564","Oyster Bay","6564","0","FBDED0B3","0"
"3","90950CE3","EMDE_201_6567","Jamaica","6567","1","FBDED0B3W","0"
"3","90950CE3","EMDE_201_6570","Oyster Bay","6570","0","FBDED0B3","0"
"3","90950CE3","EMDE_201_6571","Jamaica","6571","1","FBDED0B3W","0"
"3","90950CE3","EMDE_201_6574","Oyster Bay","6574","0","FBDED0B3","0"
"10","90950CE3","EMDE_201_6600","Port Jefferson","6600","0","DECD0CE9","0"
"10","90950CE3","EMDE_201_6602","Port Jefferson","6602","0","6503B9AB","0"
"10","90950CE3","EMDE_201_6603","Jamaica","6603","1","6503B9ABW","0"
"10","90950CE3","EMDE_201_6604","Port Jefferson","6604","0","DECD0CE9","0"
"10","90950CE3","EMDE_201_6607","Huntington","6607","1","DECD0CE9W","0"
"10","90950CE3","EMDE_201_6609","Huntington","6609","1","DECD0CE9W","0"
"10","90950CE3","EMDE_201_6610","Port Jefferson","6610","0","DECD0CE9","0"
"10","90950CE3","EMDE_201_6611","Huntington","6611","1","DECD0CE9W","0"
"10","90950CE3","EMDE_201_6612","Port Jefferson","6612","0","DECD0CE9","0"
"10","90950CE3","EMDE_201_6613","Huntington","6613","1","DECD0CE9W","0"
"10","90950CE3","EMDE_201_6614","Port Jefferson","6614","0","DECD0CE9","0"
"10","90950CE3","EMDE_201_6615","Huntington","6615","1","DECD0CE9W","0"
"10","90950CE3","EMDE_201_6650","Port Jefferson","6650","0","DECD0CE9","0"
"10","90950CE3","EMDE_201_6652","Port Jefferson","6652","0","DECD0CE9","0"
"10","90950CE3","EMDE_201_6653","Huntington","6653","1","DECD0CE9W","0"
"10","90950CE3","EMDE_201_6654","Port Jefferson","6654","0","DECD0CE9","0"
"10","90950CE3","EMDE_201_6655","Huntington","6655","1","DECD0CE9W","0"
"10","90950CE3","EMDE_201_6656","Port Jefferson","6656","0","DECD0CE9","0"
"10","90950CE3","EMDE_201_6657","Huntington","6657","1","DECD0CE9W","0"
"10","90950CE3","EMDE_201_6659","Huntington","6659","1","DECD0CE9W","0"
"10","90950CE3","EMDE_201_6660","Port Jefferson","6660","0","DECD0CE9","0"
"10","90950CE3","EMDE_201_6661","Huntington","6661","1","DECD0CE9W","0"
"10","90950CE3","EMDE_201_6662","Port Jefferson","6662","0","DECD0CE9","0"
"10","90950CE3","EMDE_201_6663","Huntington","6663","1","DECD0CE9W","0"
"10","90950CE3","EMDE_201_6664","Port Jefferson","6664","0","DECD0CE9","0"
"10","90950CE3","EMDE_201_6665","Huntington","6665","1","DECD0CE9W","0"
"10","90950CE3","EMDE_201_6666","Port Jefferson","6666","0","DECD0CE9","0"
"10","90950CE3","EMDE_201_6667","Huntington","6667","1","DECD0CE9W","0"
"2","90950CE3","EMDE_201_6701","Grand Central","6701","1","BBA47E8EW","0"
"2","90950CE3","EMDE_201_6702","Hempstead","6702","0","BBA47E8E","0"
"2","90950CE3","EMDE_201_6703","Grand Central","6703","1","BBA47E8EW","0"
"2","90950CE3","EMDE_201_6704","Hempstead","6704","0","BBA47E8E","0"
"2","90950CE3","EMDE_201_6705","Penn Station","6705","1","A6CFAE20W","0"
"2","90950CE3","EMDE_201_6706","Hempstead","6706","0","A6CFAE20","0"
"2","90950CE3","EMDE_201_6709","Penn Station","6709","1","A6CFAE20W","0"
"2","90950CE3","EMDE_201_6710","Hempstead","6710","0","A6CFAE20","0"
"2","90950CE3","EMDE_201_6711","Grand Central","6711","1","BBA47E8EW","0"
"2","90950CE3","EMDE_201_6712","Hempstead","6712","0","BBA47E8E","0"
"2","90950CE3","EMDE_201_6713","Grand Central","6713","1","BBA47E8EW","0"
"2","90950CE3","EMDE_201_6714","Hempstead","6714","0","BBA47E8E","0"
"2","90950CE3","EMDE_201_6715","Grand Central","6715","1","BBA47E8EW","0"
"2","90950CE3","EMDE_201_6716","Hempstead","6716","0","BBA47E8E","0"
"2","90950CE3","EMDE_201_6717","Grand Central","6717","1","BBA47E8EW","0"
"2","90950CE3","EMDE_201_6718","Hempstead","6718","0","BBA47E8E","0"
"2","90950CE3","EMDE_201_6719","Grand Central","6719","1","BBA47E8EW","0"
"2","90950CE3","EMDE_201_6720","Hempstead","6720","0","BBA47E8E","0"
"2","90950CE3","EMDE_201_6721","Grand Central","6721","1","BBA47E8EW","0"
"2","90950CE3","EMDE_201_6722","Hempstead","6722","0","BBA47E8E","0"
"2","90950CE3","EMDE_201_6723","Grand Central","6723","1","BBA47E8EW","0"
"2","90950CE3","EMDE_201_6725","Grand Central","6725","1","BBA47E8EW","0"
"2","90950CE3","EMDE_201_6750","Hempstead","6750","0","BBA47E8E","0"
"2","90950CE3","EMDE_201_6751","Grand Central","6751","1","BBA47E8EW","0"
"2","90950CE3","EMDE_201_6752","Hempstead","6752","0","BBA47E8E","0"
"2","90950CE3","EMDE_201_6753","Grand Central","6753","1","BBA47E8EW","0"
"2","90950CE3","EMDE_201_6754","Hempstead","6754","0","BBA47E8E","0"
"2","90950CE3","EMDE_201_6755","Grand Central","6755","1","BBA47E8EW","0"
"2","90950CE3","EMDE_201_6756","Hempstead","6756","0","BBA47E8E","0"
"2","90950CE3","EMDE_201_6757","Grand Central","6757","1","BBA47E8EW","0"
"2","90950CE3","EMDE_201_6759","Grand Central","6759","1","BBA47E8EW","0"
"2","90950CE3","EMDE_201_6760","Hempstead","6760","0","BBA47E8E","0"
"2","90950CE3","EMDE_201_6762","Hempstead","6762","0","BBA47E8E","0"
"2","90950CE3","EMDE_201_6763","Grand Central","6763","1","BBA47E8EW","0"
"2","90950CE3","EMDE_201_6764","Hempstead","6764","0","BBA47E8E","0"
"2","90950CE3","EMDE_201_6765","Grand Central","6765","1","BBA47E8EW","0"
"2","90950CE3","EMDE_201_6766","Hempstead","6766","0","BBA47E8E","0"
"2","90950CE3","EMDE_201_6767","Grand Central","6767","1","BBA47E8EW","0"
"2","90950CE3","EMDE_201_6768","Hempstead","6768","0","BBA47E8E","0"
"2","90950CE3","EMDE_201_6769","Grand Central","6769","1","BBA47E8EW","0"
"2","90950CE3","EMDE_201_6770","Hempstead","6770","0","BBA47E8E","0"
"2","90950CE3","EMDE_201_6771","Grand Central","6771","1","BBA47E8EW","0"
"2","90950CE3","EMDE_201_6772","Hempstead","6772","0","BBA47E8E","0"
"2","90950CE3","EMDE_201_6773","Grand Central","6773","1","BBA47E8EW","0"
"2","90950CE3","EMDE_201_6774","Hempstead","6774","0","BBA47E8E","0"
"6","90950CE3","EMDE_201_6801","Grand Central","6801","1","878A640BW","0"
"6","90950CE3","EMDE_201_6802","Long Beach","6802","0","878A640B","0"
"6","90950CE3","EMDE_201_6804","Long Beach","6804","0","9AE1B4A5","0"
"6","90950CE3","EMDE_201_6805","Penn Station","6805","1","9AE1B4A5W","0"
"6","90950CE3","EMDE_201_6806","Long Beach","6806","0","9AE1B4A5","0"
"6","90950CE3","EMDE_201_6807","Grand Central","6807","1","878A640BW","0"
"6","90950CE3","EMDE_201_6809","Grand Central","6809","1","878A640BW","0"
"6","90950CE3","EMDE_201_6810","Long Beach","6810","0","878A640B","0"
"6","90950CE3","EMDE_201_6811","Grand Central","6811","1","878A640BW","0"
"6","90950CE3","EMDE_201_6812","Long Beach","6812","0","878A640B","0"
"6","90950CE3","EMDE_201_6813","Grand Central","6813","1","878A640BW","0"
"6","90950CE3","EMDE_201_6814","Long Beach","6814","0","878A640B","0"
"6","90950CE3","EMDE_201_6815","Grand Central","6815","1","878A640BW","0"
"6","90950CE3","EMDE_201_6816","Long Beach","6816","0","878A640B","0"
"6","90950CE3","EMDE_201_6817","Grand Central","6817","1","878A640BW","0"
"6","90950CE3","EMDE_201_6818","Long Beach","6818","0","1EFB3B6D","0"
"6","90950CE3","EMDE_201_6820","Long Beach","6820","0","878A640B","0"
"6","90950CE3","EMDE_201_6822","Long Beach","6822","0","878A640B","0"
"6","90950CE3","EMDE_201_6823","Grand Central","6823","1","878A640BW","0"
"6","90950CE3","EMDE_201_6824","Long Beach","6824","0","878A640B","0"
"6","90950CE3","EMDE_201_6825","Grand Central","6825","1","878A640BW","0"
"6","90950CE3","EMDE_201_6852","Long Beach","6852","0","878A640B","0"
"6","90950CE3","EMDE_201_6853","Grand Central","6853","1","878A640BW","0"
"6","90950CE3","EMDE_201_6854","Long Beach","6854","0","878A640B","0"
"6","90950CE3","EMDE_201_6855","Grand Central","6855","1","878A640BW","0"
"6","90950CE3","EMDE_201_6856","Long Beach","6856","0","878A640B","0"
"6","90950CE3","EMDE_201_6857","Grand Central","6857","1","878A640BW","0"
"6","90950CE3","EMDE_201_6859","Penn Station","6859","1","1EFB3B6DW","0"
"6","90950CE3","EMDE_201_6860","Long Beach","6860","0","878A640B","0"
"6","90950CE3","EMDE_201_6862","Long Beach","6862","0","878A640B","0"
"6","90950CE3","EMDE_201_6863","Grand Central","6863","1","878A640BW","0"
"6","90950CE3","EMDE_201_6865","Grand Central","6865","1","878A640BW","0"
"6","90950CE3","EMDE_201_6866","Long Beach","6866","0","878A640B","0"
"6","90950CE3","EMDE_201_6867","Grand Central","6867","1","878A640BW","0"
"6","90950CE3","EMDE_201_6868","Long Beach","6868","0","878A640B","0"
"6","90950CE3","EMDE_201_6872","Long Beach","6872","0","878A640B","0"
"6","90950CE3","EMDE_201_6873","Grand Central","6873","1","878A640BW","0"
"6","90950CE3","EMDE_201_6874","Long Beach","6874","0","878A640B","0"
"6","90950CE3","EMDE_201_6875","Grand Central","6875","1","878A640BW","0"
"6","90950CE3","EMDE_201_6876","Long Beach","6876","0","878A640B","0"
"6","90950CE3","EMDE_201_6877","Grand Central","6877","1","878A640BW","0"
"6","90950CE3","EMDE_201_6878","Long Beach","6878","0","878A640B","0"
"6","90950CE3","EMDE_201_6879","Grand Central","6879","1","878A640BW","0"
"6","90950CE3","EMDE_201_6880","Long Beach","6880","0","878A640B","0"
"6","90950CE3","EMDE_201_6881","Grand Central","6881","1","878A640BW","0"
"4","90950CE3","EMDE_201_6902","Greenport","6902","0","54C9D02A","0"
"4","90950CE3","EMDE_201_6903","Ronkonkoma","6903","1","54C9D02AW","0"
"4","90950CE3","EMDE_201_6904","Greenport","6904","0","54C9D02A","0"
"4","90950CE3","EMDE_201_6905","Ronkonkoma","6905","1","54C9D02AW","0"
"4","90950CE3","EMDE_201_6950","Greenport","6950","0","54C9D02A","0"
"4","90950CE3","EMDE_201_6951","Ronkonkoma","6951","1","54C9D02AW","0"
"4","90950CE3","EMDE_201_6952","Greenport","6952","0","54C9D02A","0"
"4","90950CE3","EMDE_201_6955","Ronkonkoma","6955","1","54C9D02AW","0"
"1","90950CE3","EMDE_201_7102","Freeport","7102","0","4A60B26A","0"
"1","90950CE3","EMDE_201_7104","Freeport","7104","0","4A60B26A","0"
"1","90950CE3","EMDE_201_7106","Freeport","7106","0","4A60B26A","0"
"12","90950CE3","EMDE_201_7151","Penn Station","7151","1","436E0248W","0"
