from_stop_id,to_stop_id,from_route_id,to_route_id,from_trip_id,to_trip_id,transfer_type,min_transfer_time
33,33,,,246064224606423+1057652+0,246064224606423+1056857+0,1,
33,33,,,246068224606924+1057653+0,246068224606924+1056858+0,1,
33,33,,,246073124608111+1057653+0,246073124608111+1056858+0,1,
33,33,,,246064724606643+1057653+0,246064724606643+1056858+0,1,
33,33,,,246066824606721+1057655+0,246066824606711+1056860+0,1,
33,33,,,246068224606922+1057759+0,246068224606922+1056871+0,1,
33,33,,,246072524607272+1057759+0,246072524607272+1056871+0,1,
33,33,,,246073124608113+1057759+0,246073124608113+1056871+0,1,
33,33,,,246065124606655+1057760+0,246065124606655+1056872+0,1,
33,33,,,246067524606751+1057761+0,246067524606761+1056873+0,1,
33,33,,,246069724607062+1057793+0,246069724607062+1056876+0,1,
33,33,,,246069524606957+1057829+0,246069524606957+1057265+0,1,
33,33,,,246068024608136+1057849+0,246068024608136+1057286+0,1,
33,33,,,246070224607167+1057850+0,246070224607167+1057287+0,1,
33,33,,,246069624606961+1057866+0,246069624606961+1057309+0,1,
33,33,,,246068224606922+1057880+0,246068224606922+1056886+0,1,
33,33,,,246067524606762+1057882+0,246067524606762+1056888+0,1,
33,33,,,246069724607064+1057884+0,246069724606994+1056886+0,1,
33,33,,,246064324606434+1057886+0,246064324606434+1057332+0,1,
33,33,,,246073024608077+1057893+0,246073024608077+1057338+0,1,
33,33,,,246064424606445+1057909+0,246064424606445+1057362+0,1,
33,33,,,246064524606736+1057910+0,246064524606736+1057363+0,1,
33,33,,,246064324606434+1057931+0,246064324606434+1057392+0,1,
33,33,,,246069524606957+1057939+0,246069524606957+1057399+0,1,
33,33,,,246064524606456+1057957+0,246064524606736+1057423+0,1,
33,33,,,246065224606736+1057959+0,246064524606736+1057423+0,1,
33,33,,,246069624606961+1057960+0,246069624606961+1057425+0,1,
33,33,,,246070224607167+1057962+0,246070224607167+1057427+0,1,
33,33,,,246064424606445+1057972+0,246064424606445+1057453+0,1,
33,33,,,246064524606736+1058012+0,246064524606736+1057526+0,1,
33,33,,,246068124606887+1058016+0,246068124606887+1057530+0,1,
33,33,,,246064724606651+1056983+0,246064724606641+1056565+1,1,
33,33,,,246069724607004+1056983+0,246069724606994+1056565+1,1,
33,33,,,246064724606652+1056992+1,246064724606652+1056580+1,1,
33,33,,,246068224606932+1056992+1,246068224606932+1056580+1,1,
33,33,,,246069724607002+1056992+1,246069724607002+1056580+1,1,
33,33,,,246069724607004+1056992+1,246069724607004+1056580+1,1,
33,33,,,246070324607211+1056992+1,246070324607211+1056580+1,1,
33,33,,,246070324607214+1056992+1,246070324607214+1056580+1,1,
33,33,,,246072524607284+1056992+1,246072524607284+1056580+1,1,
33,33,,,246073124608121+1056992+1,246073124608121+1056580+1,1,
33,33,,,246073124608123+1056992+1,246073124608123+1056580+1,1,
33,33,,,246066824606725+1056993+1,246066824606795+1056580+1,1,
33,33,,,246064724606654+1057003+1,246064724606654+1056585+1,1,
33,33,,,246068224606934+1057003+1,246068224606934+1056585+1,1,
33,33,,,246069724607002+1057003+1,246069724607002+1056585+1,1,
33,33,,,246072524607285+1057003+1,246072524607285+1056585+1,1,
33,33,,,246073124608124+1057003+1,246073124608124+1056585+1,1,
33,33,,,246064724606651+1057003+1,246064724606641+1056592+1,1,
33,33,,,246066824606791+1057003+1,246067524606761+1056594+1,1,
33,33,,,246069724607002+1057003+1,246069724606992+1056592+1,1,
33,33,,,246069724607003+1057003+1,246069724606993+1056592+1,1,
33,33,,,246069724607005+1057003+1,246067924608125+1056593+1,1,
33,33,,,246072524607285+1057003+1,246067924608125+1056593+1,1,
33,33,,,246073124608124+1057003+1,246073124608114+1056592+1,1,
33,33,,,246064724606644+1057012+1,246064724606654+1056600+1,1,
33,33,,,246067824606784+1057012+1,246066824606794+1056600+1,1,
33,33,,,246068224606923+1057012+1,246068224606933+1056600+1,1,
33,33,,,246069724606992+1057012+1,246069724607002+1056600+1,1,
33,33,,,246073124608113+1057012+1,246073124608123+1056600+1,1,
33,33,,,246073124608114+1057012+1,246073124608124+1056600+1,1,
33,33,,,246066824606712+1057014+1,246066824606792+1056600+1,1,
33,33,,,246066824606714+1057014+1,246066824606794+1056600+1,1,
33,33,,,246067224606725+1057015+1,246066824606795+1056600+1,1,
33,33,,,246067924608125+1057017+1,246070324607215+1056600+1,1,
33,33,,,246064724606641+1057019+1,246064724606651+1056636+1,1,
33,33,,,246064724606642+1057019+1,246064724606652+1056636+1,1,
33,33,,,246068224606935+1057050+1,246067924608125+1056657+1,1,
33,33,,,246070324607213+1057050+1,246070324607203+1056656+1,1,
33,33,,,246072524607285+1057050+1,246067924608125+1056657+1,1,
33,33,,,246073124608123+1057050+1,246073124608113+1056656+1,1,
33,33,,,246066824606721+1057051+1,246066824606721+1056658+1,1,
33,33,,,246066824606725+1057051+1,246066824606725+1056658+1,1,
33,33,,,246068224606934+1057063+1,246068224606924+1056665+1,1,
33,33,,,246070324607213+1057065+1,246071024607203+1056665+1,1,
