stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone
00000000000000000000000000000003,,Crystal City,,38.85972,-77.04827,,,1,,
00000000000000000000000000000005,,Franconia / Springfield,,38.76615,-77.16812,,,1,,
0000000000000000000000000000000C,,Fredericksburg,,38.29825,-77.45683,,,1,,
00000000000000000000000000000002,,L Enfant,,38.88559,-77.0212,,,1,,
C9C9EEB6CE1A46C3BD0901F3F225933E,,Lead,,38.89955,-77.00472,,,0,00000000000000000000000000000001,
1555D7C62D784D6B9F2AD871999E0098,,Lead,,38.72967,-77.52548,,,0,00000000000000000000000000000012,
078CADB54DE04AA996C133AEDEE8BB5F,,Lead,,38.22099,-77.44081,,,0,dc8e2e569500000066c00b02130a0000,
0000000000000000000000000000000B,,Leeland Road,,38.34707,-77.43782,,,1,,
00000000000000000000000000000006,,Lorton,,38.71567,-77.21387,,,1,,
00000000000000000000000000000011,,Manassas,,38.75022,-77.4725,,,1,,
00000000000000000000000000000010,,Manassas Park,,38.76596,-77.4403,,,1,,
00000000000000000000000000000009,,Quantico,,38.52169,-77.29323,,,1,,
00000000000000000000000000000008,,Rippon,,38.61237,-77.25349,,,1,,
0000000000000000000000000000000E,,Rolling Road,,38.79465,-77.25847,,,1,,
fdfece665f0a00000fc03ca8a8c00000,,ServiceAlerts,,38.80612,-77.05609,,,1,,
dc8e2e569500000066c00b02130a0000,,Spotsylvania,,38.22099,-77.44081,,,1,,
e3750967165100000ec03ca8a8c00000,,Station Monitor,,38.80618,-77.06249,,,1,,
67650967865000000ec03ca8a8c00000,,TestPlayer1,,38.80618,-77.06249,,,1,,
00000000000000000000000000000001,,Union Station,,38.89955,-77.00472,,,1,,
00000000000000000000000000000007,,Woodbridge,,38.65935,-77.248,,,1,,
