shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
2,26.64866,-80.06879,45
2,26.64746,-80.06885,46
2,26.64493,-80.0694,47
2,26.64366,-80.06959,48
2,26.64229,-80.06965,49
2,26.63961,-80.06937,50
2,26.63068,-80.06838,51
2,26.62894,-80.06835,52
2,26.62728,-80.06849,53
2,26.62566,-80.06866,54
2,26.62406,-80.06881,55
2,26.61683,-80.06908,56
2,26.61591,-80.0691,57
2,26.60194,-80.06959,58
2,26.59236,-80.06978,59
2,26.58914,-80.06987,60
2,26.57632,-80.07011,61
2,26.57326,-80.07016,62
2,26.5566,-80.07049,63
2,26.55405,-80.07055,64
2,26.55293,-80.07056,65
2,26.55195,-80.0706,66
2,26.55069,-80.07073,67
2,26.54904,-80.07111,68
2,26.53876,-80.07364,69
2,26.53605,-80.07422,70
2,26.53326,-80.07426,71
2,26.52766,-80.0741,72
2,26.52496,-80.07399,73
2,26.52232,-80.07357,74
2,26.51965,-80.07328,75
2,26.51688,-80.07348,76
2,26.51407,-80.0742,77
2,26.46852,-80.09072,78
2,26.46656,-80.09107,79
2,26.46473,-80.09109,80
2,26.46131,-80.09105,81
2,26.45783,-80.09096,82
2,26.45425,-80.09094,83
2,26.45372,-80.09092,84
2,26.45147,-80.09092,85
2,26.43305,-80.09074,86
2,26.42346,-80.0907,87
2,26.41059,-80.09059,88
2,26.40485,-80.09051,89
2,26.40223,-80.09076,90
2,26.40003,-80.09167,91
2,26.39804,-80.09312,92
2,26.39654,-80.09472,93
2,26.39262,-80.09904,94
2,26.3833,-80.10927,95
2,26.37723,-80.11598,96
2,26.37517,-80.11822,97
2,26.37268,-80.11993,98
2,26.36978,-80.12072,99
2,26.36675,-80.12072,100
2,26.36367,-80.12068,101
2,26.3263,-80.12008,102
2,26.32462,-80.12017,103
2,26.32291,-80.12047,104
2,26.32121,-80.12096,105
2,26.3197,-80.12144,106
2,26.31737,-80.12221,107
2,26.30618,-80.12584,108
2,26.29681,-80.12885,109
2,26.29336,-80.12998,110
2,26.29181,-80.13044,111
2,26.29028,-80.13083,112
2,26.27507,-80.13418,113
2,26.27263,-80.13471,114
2,26.27141,-80.13498,115
2,26.25571,-80.13842,116
2,26.24932,-80.13981,117
2,26.24612,-80.14047,118
