from_stop_id,to_stop_id,from_route_id,to_route_id,from_trip_id,to_trip_id,transfer_type,min_transfer_time
33,33,,,245979624597974+243394+1,245979624597974+243527+1,1,
33,33,,,245979624597974+243400+1,245979624597974+243530+1,1,
33,33,,,245979624597974+243418+1,245979624597974+243673+1,1,
33,33,,,245979624597974+243421+1,245979624597974+243733+1,1,
33,33,,,245979624597974+243427+1,245979624597974+243764+0,1,
33,33,,,245979624597964+243438+0,245979624597974+243806+0,1,
33,33,,,245979624597974+243447+0,245979624597974+243889+0,1,
33,33,,,245979624597974+243452+0,245979624597974+243908+0,1,
33,33,,,245979624597974+243461+0,245979624597974+243927+0,1,
94,94,,,245979624597974+242645+1,245979624597974+243932+0,1,
94,94,,,245979624597974+242658+1,245979624597974+243933+0,1,
94,94,,,245979624597964+242667+0,245979624597974+243936+0,1,
94,94,,,245979624597974+242679+0,245979624597974+243938+0,1,
94,94,,,245979624597974+242751+0,245979624597974+243959+0,1,
76,76,,,245979624597964+242294+0,245979624597974+243998+0,1,
74,74,,,245979624597974+242306+1,245979624597974+244023+1,1,
94,94,,,245979624597974+243126+1,245979624597974+244184+0,1,
94,94,,,245979624597974+243174+1,245979624597974+244187+0,1,
94,94,,,245979624597974+243184+0,245979624597974+244190+0,1,
94,94,,,245979624597974+243196+0,245979624597974+244191+0,1,
94,94,,,245979624597974+243216+0,245979624597974+244207+0,1,
140,140,,,245979624597974+241806+1,245979624597974+244398+0,1,
140,140,,,245979624597974+241911+1,245979624597974+244398+0,1,
140,140,,,245979624597964+241869+0,245979624597974+244399+0,1,
112,112,,,245979624597975+241687+0,245979624597975+241615+0,1,
112,112,,,245979624597975+241691+0,245979624597975+241616+0,1,
124,124,,,245979624597975+241816+0,245979624597975+241632+0,1,
124,124,,,245979624597975+242053+0,245979624597975+241632+0,1,
124,124,,,245979624597975+241820+0,245979624597975+241638+1,1,
124,124,,,245979624597975+241829+1,245979624597975+241646+1,1,
124,124,,,245979624597975+241835+1,245979624597975+241662+1,1,
124,124,,,245979624597975+241856+1,245979624597975+241681+1,1,
124,124,,,245979624597975+241867+1,245979624597975+241687+0,1,
