route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,peak_offpeak
1,246022424602245,246022424602245+503090+0,Poughkeepsie,837,0,,12,1,0
1,246017924601813,246017924601813+503091+1,Grand Central,838,1,,1,1,1
1,246017924601814,246017924601814+503091+1,Grand Central,838,1,,1,1,1
1,246019324601954,246019324601954+503106+1,Grand Central,842,1,,1,1,1
1,246019624602245,246019624602245+503107+1,Grand Central,842,1,,1,1,1
1,246017924601803,246017924601803+503122+1,Poughkeepsie,847,0,,12,1,1
1,246019924602234,246019924602234+503122+1,Poughkeepsie,847,0,,12,1,1
1,246019624602245,246019624602245+503122+1,Poughkeepsie,847,0,,12,1,1
1,246019924602021,246019924602021+503153+0,Grand Central,862,1,,1,1,0
1,246018524601884,246018524601884+503169+0,Grand Central,870,1,,1,1,0
1,246018324602256,246018324602256+503214+0,Grand Central,8720,1,,1,1,0
1,246019024601906,246019024601906+503237+0,Grand Central,8726,1,,1,1,0
1,246019724601976,246019724601976+503240+0,Croton-Harmon,8727,0,,12,1,0
1,246018224601825,246018224601825+503285+0,Grand Central,874,1,,1,1,0
1,246019924602023,246019924602023+503286+0,Grand Central,874,1,,1,1,0
1,246020724602092,246020724602092+503287+0,Grand Central,874,1,,1,1,0
6,246019924602241,246019924602241+501424+1,Bridgeport,1925,1,,11,1,1
6,246017924601824,246017924601824+501425+0,Waterbury,1928,0,,22,1,0
6,246019324601964,246019324601964+501425+0,Waterbury,1928,0,,22,1,0
6,246017924601823,246017924601823+501425+0,Waterbury,1928,0,,22,1,0
6,246017924601825,246017924601825+501426+1,Bridgeport,1935,1,,11,1,1
6,246019924602243,246019924602243+501427+1,Bridgeport,1935,1,,11,1,1
3,246018924601895,246018924601895+501656+0,New Haven,3536,0,,16,0,0
3,246018524601884,246018524601884+501657+1,Grand Central,3537,1,,5,1,1
3,246019924602031,246019924602031+501657+1,Grand Central,3537,1,,5,1,1
3,246019524601964,246019524601964+501657+1,Grand Central,3537,1,,5,1,1
3,246019524601965,246019524601965+501657+1,Grand Central,3537,1,,5,1,1
3,246017924601825,246017924601825+501657+1,Grand Central,3537,1,,5,1,1
3,246018524601883,246018524601883+501657+1,Grand Central,3537,1,,5,1,1
2,246019324601965,246019324601965+501707+1,Grand Central,4608,1,,3,1,1
2,246019324601964,246019324601964+501707+1,Grand Central,4608,1,,3,1,1
2,246019924602243,246019924602243+501708+1,Grand Central,4608,1,,3,1,1
2,246019324601964,246019324601964+501770+1,North White Plains,511,0,,14,1,1
2,246017924601822,246017924601822+501770+1,North White Plains,511,0,,14,1,1
2,246019924602245,246019924602245+501771+1,North White Plains,511,0,,14,1,1
2,246019924602243,246019924602243+501771+1,North White Plains,511,0,,14,1,1
2,246019924602243,246019924602243+501830+0,North White Plains,529,0,,14,1,0
2,246018524601883,246018524601883+501884+0,Grand Central,548,1,,3,1,0
2,246019324601964,246019324601964+501884+0,Grand Central,548,1,,3,1,0
2,246019924602241,246019924602241+501884+0,Grand Central,548,1,,3,1,0
2,246019324601962,246019324601962+501884+0,Grand Central,548,1,,3,1,0
3,246019124601927,246019124601927+502122+0,Stamford,6306,0,,16,0,0
3,246019124601927,246019124601927+502185+0,Grand Central,6333,1,,5,0,0
3,246018324601836,246018324601836+502185+0,Grand Central,6333,1,,5,1,0
2,246019524601954,246019524601954+502298+0,Grand Central,640,1,,3,1,0
2,246018524601882,246018524601882+502298+0,Grand Central,640,1,,3,1,0
2,246018524601884,246018524601884+502298+0,Grand Central,640,1,,3,1,0
2,246021724602245,246021724602245+502299+0,Grand Central,640,1,,3,1,0
3,246019124601917,246019124601917+502457+0,Grand Central,6547,1,,5,0,0
3,246019124601921,246019124601921+502486+0,New Haven,6556,0,,16,0,0
3,246018424601847,246018424601847+502486+0,New Haven,6556,0,,16,1,0
2,246020724602092,246020724602092+502576+1,Southeast,671,0,,14,1,1
2,246022424602245,246022424602245+502577+1,Southeast,671,0,,14,1,1
5,246019124601921,246019124601921+502668+0,South Norwalk,6849,1,,10,0,0
2,246020324602035,246020324602035+502670+0,Southeast,685,0,,14,1,0
2,246018224601825,246018224601825+502670+0,Southeast,685,0,,14,1,0
2,246020024602022,246020024602022+502671+0,Southeast,685,0,,14,1,0
2,246022024602231,246022024602231+502671+0,Southeast,685,0,,14,1,0
2,246022024602233,246022024602233+502671+0,Southeast,685,0,,14,1,0
1,246017924601803,246017924601803+503124+1,Poughkeepsie,849,0,,12,1,1
1,246019924602233,246019924602233+503124+1,Poughkeepsie,849,0,,12,1,1
1,246019924602234,246019924602234+503124+1,Poughkeepsie,849,0,,12,1,1
1,246018524601884,246018524601884+503124+1,Poughkeepsie,849,0,,12,1,1
1,246019324601954,246019324601954+503139+0,Grand Central,854,1,,1,1,0
1,246021324602232,246021324602232+503156+0,Grand Central,862,1,,1,1,0
1,246019124601917,246019124601917+503192+0,Grand Central,8708,1,,1,0,0
1,246019724601976,246019724601976+503195+0,Croton-Harmon,8711,0,,12,1,0
1,246018324602256,246018324602256+503242+0,Grand Central,8728,1,,1,1,0
1,246019824602197,246019824602197+503243+0,Grand Central,8728,1,,1,1,0
1,246018424601847,246018424601847+503243+0,Grand Central,8728,1,,1,1,0
1,246019124601917,246019124601917+503265+0,Grand Central,8734,1,,1,0,0
1,246019224601921,246019224601921+503358+0,Grand Central,8758,1,,1,0,0
1,246019724601976,246019724601976+503359+0,Croton-Harmon,8759,0,,12,1,0
1,246019124601917,246019124601917+503381+0,Grand Central,8764,1,,1,0,0
1,246018324602256,246018324602256+503403+0,Grand Central,8776,1,,1,1,0
1,246019224601921,246019224601921+503404+0,Grand Central,8776,1,,1,0,0
1,246018924601895,246018924601895+503421+0,Grand Central,880,1,,1,0,0
3,246020024602022,246020024602022+501285+0,Grand Central,1591,1,,5,1,0
3,246019324601952,246019324601952+501285+0,Grand Central,1591,1,,5,1,0
5,246018524601884,246018524601884+501373+0,Danbury,1806,0,,21,1,0
5,246017924601824,246017924601824+501373+0,Danbury,1806,0,,21,1,0
5,246019924602242,246019924602242+501374+1,Grand Central,1811,1,,10,1,1
5,246018924601895,246018924601895+501374+1,Grand Central,1811,1,,10,0,1
6,246018524601882,246018524601882+501428+0,Waterbury,1936,0,,22,1,0
6,246017924601824,246017924601824+501428+0,Waterbury,1936,0,,22,1,0
6,246019324601962,246019324601962+501429+0,Waterbury,1942,0,,22,1,0
6,246017924601825,246017924601825+501429+0,Waterbury,1942,0,,22,1,0
6,246019924602241,246019924602241+501429+0,Waterbury,1942,0,,22,1,0
6,246019924602245,246019924602245+501429+0,Waterbury,1942,0,,22,1,0
6,246017924601825,246017924601825+501430+0,Bridgeport,1949,1,,11,1,0
6,246019324601964,246019324601964+501430+0,Bridgeport,1949,1,,11,1,0
6,246019924602241,246019924602241+501431+0,Bridgeport,1949,1,,11,1,0
6,246018524601883,246018524601883+501432+0,Waterbury,1956,0,,22,1,0
6,246018524601882,246018524601882+501432+0,Waterbury,1956,0,,22,1,0
1,246017924601822,246017924601822+501709+1,Greystone,461,0,,12,1,1
1,246019924602244,246019924602244+501710+1,Greystone,461,0,,12,1,1
