"service_id","date","exception_type"
"03FA2489","20220828","1"
"03FA2489","20220903","1"
"03FA2489","20220904","1"
"8C631E81","20220813","1"
"8C631E81","20220820","1"
"8C631E81","20220827","1"
"8C631E81","20220903","1"
"E6A401B7","20220814","1"
"E6A401B7","20220821","1"
"E6A401B7","20220828","1"
"E6A401B7","20220904","1"
"E6A401B7","20220905","1"
"D8F96EB8","20220814","1"
"D8F96EB8","20220821","1"
"D8F96EB8","20220828","1"
"D8F96EB8","20220904","1"
"8EB96B90","20220805","1"
"8EB96B90","20220808","1"
"8EB96B90","20220810","1"
"8EB96B90","20220811","1"
"8EB96B90","20220812","1"
"8EB96B90","20220815","1"
"8EB96B90","20220817","1"
"8EB96B90","20220818","1"
"8EB96B90","20220819","1"
"8EB96B90","20220822","1"
"8EB96B90","20220824","1"
"8EB96B90","20220825","1"
"8EB96B90","20220826","1"
"8EB96B90","20220829","1"
"8EB96B90","20220831","1"
"8EB96B90","20220901","1"
"8EB96B90","20220902","1"
"AFC46514","20220805","1"
"AFC46514","20220808","1"
"AFC46514","20220809","1"
"AFC46514","20220810","1"
"AFC46514","20220811","1"
"AFC46514","20220812","1"
"AFC46514","20220815","1"
"AFC46514","20220816","1"
"AFC46514","20220817","1"
"AFC46514","20220818","1"
"AFC46514","20220819","1"
"AFC46514","20220822","1"
"AFC46514","20220823","1"
"AFC46514","20220824","1"
"AFC46514","20220825","1"
"AFC46514","20220826","1"
"AFC46514","20220829","1"
"AFC46514","20220901","1"
"AFC46514","20220902","1"
"9319FFAB","20220830","1"
"9319FFAB","20220831","1"
"F3B2C6D3","20220901","1"
"E1C51D9D","20220824","1"
"E1C51D9D","20220901","1"
"10EB2965","20220824","1"
"28330466","20220805","1"
"28330466","20220808","1"
"28330466","20220809","1"
"28330466","20220810","1"
"28330466","20220811","1"
"28330466","20220812","1"
"28330466","20220815","1"
"28330466","20220816","1"
"28330466","20220817","1"
"28330466","20220818","1"
"28330466","20220819","1"
"28330466","20220822","1"
"28330466","20220823","1"
"28330466","20220825","1"
"28330466","20220826","1"
"28330466","20220829","1"
"28330466","20220830","1"
"28330466","20220831","1"
"28330466","20220902","1"
"AC4D14AB","20220805","1"
"AC4D14AB","20220808","1"
"AC4D14AB","20220809","1"
"AC4D14AB","20220810","1"
"AC4D14AB","20220811","1"
"AC4D14AB","20220812","1"
"AC4D14AB","20220815","1"
"AC4D14AB","20220816","1"
"AC4D14AB","20220817","1"
"AC4D14AB","20220818","1"
"AC4D14AB","20220819","1"
"AC4D14AB","20220822","1"
"AC4D14AB","20220823","1"
"AC4D14AB","20220824","1"
"AC4D14AB","20220826","1"
"AC4D14AB","20220829","1"
"AC4D14AB","20220830","1"
"AC4D14AB","20220831","1"
"AC4D14AB","20220901","1"
"5E495E62","20220825","1"
"5E495E62","20220902","1"
"C9CD6A68","20220827","1"
"C6E48509","20220813","1"
"E9350E3F","20220814","1"
"E9350E3F","20220820","1"
"E9350E3F","20220821","1"
"E9350E3F","20220828","1"
"E9350E3F","20220903","1"
"E9350E3F","20220904","1"
"E9350E3F","20220905","1"
"992B4074","20220813","1"
"992B4074","20220827","1"
"49140167","20220813","1"
"49140167","20220820","1"
"49140167","20220821","1"
"49140167","20220827","1"
"49140167","20220903","1"
"49140167","20220904","1"
"49140167","20220905","1"
"74702550","20220828","1"
"C36A3AE9","20220805","1"
"C36A3AE9","20220809","1"
"C36A3AE9","20220810","1"
"C36A3AE9","20220811","1"
"C36A3AE9","20220812","1"
"C36A3AE9","20220815","1"
"C36A3AE9","20220816","1"
"C36A3AE9","20220817","1"
"C36A3AE9","20220818","1"
"C36A3AE9","20220819","1"
"C36A3AE9","20220822","1"
"C36A3AE9","20220823","1"
"C36A3AE9","20220824","1"
"C36A3AE9","20220825","1"
"C36A3AE9","20220826","1"
"C36A3AE9","20220829","1"
"C36A3AE9","20220830","1"
"C36A3AE9","20220831","1"
"C36A3AE9","20220901","1"
"C36A3AE9","20220902","1"
"7BEED7F0","20220808","1"
"6771A724","20220805","1"
"6771A724","20220809","1"
"6771A724","20220810","1"
"6771A724","20220811","1"
"6771A724","20220812","1"
"6771A724","20220815","1"
"6771A724","20220816","1"
"6771A724","20220817","1"
"6771A724","20220818","1"
"6771A724","20220819","1"
"6771A724","20220822","1"
"6771A724","20220823","1"
"6771A724","20220824","1"
"6771A724","20220826","1"
"6771A724","20220829","1"
"6771A724","20220830","1"
"6771A724","20220831","1"
"6771A724","20220901","1"
"6771A724","20220902","1"
"5EB411BB","20220815","1"
"5EB411BB","20220822","1"
"5EB411BB","20220829","1"
"2EE6F865","20220805","1"
"2EE6F865","20220808","1"
"2EE6F865","20220809","1"
"2EE6F865","20220810","1"
"2EE6F865","20220811","1"
"2EE6F865","20220812","1"
"2EE6F865","20220816","1"
"2EE6F865","20220817","1"
"2EE6F865","20220818","1"
"2EE6F865","20220819","1"
"2EE6F865","20220823","1"
"2EE6F865","20220824","1"
"2EE6F865","20220825","1"
"2EE6F865","20220826","1"
"2EE6F865","20220830","1"
"2EE6F865","20220831","1"
"2EE6F865","20220901","1"
"2EE6F865","20220902","1"
"63B9BB78","20220805","1"
"63B9BB78","20220808","1"
"63B9BB78","20220809","1"
"63B9BB78","20220810","1"
"63B9BB78","20220811","1"
"63B9BB78","20220812","1"
"63B9BB78","20220815","1"
"63B9BB78","20220816","1"
"63B9BB78","20220817","1"
"63B9BB78","20220818","1"
"63B9BB78","20220819","1"
"63B9BB78","20220822","1"
"63B9BB78","20220823","1"
"63B9BB78","20220825","1"
"63B9BB78","20220826","1"
"63B9BB78","20220829","1"
"63B9BB78","20220830","1"
"63B9BB78","20220831","1"
"63B9BB78","20220901","1"
"63B9BB78","20220902","1"
"DA444C74","20220808","1"
"DA444C74","20220809","1"
"DA444C74","20220810","1"
"DA444C74","20220811","1"
"DA444C74","20220812","1"
"DA444C74","20220815","1"
"DA444C74","20220816","1"
"DA444C74","20220817","1"
"DA444C74","20220818","1"
"DA444C74","20220819","1"
"DA444C74","20220822","1"
"DA444C74","20220823","1"
"DA444C74","20220824","1"
"DA444C74","20220825","1"
"DA444C74","20220826","1"
"DA444C74","20220829","1"
"DA444C74","20220830","1"
"DA444C74","20220831","1"
"DA444C74","20220901","1"
"DA444C74","20220902","1"
"A8681AC1","20220805","1"
"0AB06F30","20220808","1"
"0AB06F30","20220809","1"
"0AB06F30","20220810","1"
"0AB06F30","20220811","1"
"0AB06F30","20220812","1"
"0AB06F30","20220815","1"
"0AB06F30","20220816","1"
"0AB06F30","20220817","1"
"0AB06F30","20220818","1"
"0AB06F30","20220819","1"
"0AB06F30","20220822","1"
"0AB06F30","20220823","1"
"0AB06F30","20220825","1"
"0AB06F30","20220826","1"
"0AB06F30","20220829","1"
"0AB06F30","20220830","1"
"0AB06F30","20220831","1"
"0AB06F30","20220901","1"
"0AB06F30","20220902","1"
"36EC5A6F","20220820","1"
"36EC5A6F","20220821","1"
"36EC5A6F","20220827","1"
"36EC5A6F","20220828","1"
"36EC5A6F","20220903","1"
"36EC5A6F","20220904","1"
"36EC5A6F","20220905","1"
"9352E80B","20220813","1"
"9352E80B","20220814","1"
"9498E60C","20220820","1"
"9498E60C","20220821","1"
"9498E60C","20220827","1"
"9498E60C","20220903","1"
"9498E60C","20220904","1"
"9498E60C","20220905","1"
"EBE42513","20220820","1"
"EBE42513","20220821","1"
"EBE42513","20220828","1"
"EBE42513","20220903","1"
"EBE42513","20220904","1"
"EBE42513","20220905","1"
"A0F59099","20220821","1"
"A0F59099","20220828","1"
"A0F59099","20220905","1"
"C3B4C217","20220814","1"
"35E5E7E5","20220805","1"
"35E5E7E5","20220808","1"
"35E5E7E5","20220809","1"
"35E5E7E5","20220810","1"
"35E5E7E5","20220811","1"
"35E5E7E5","20220815","1"
"35E5E7E5","20220816","1"
"35E5E7E5","20220817","1"
"35E5E7E5","20220818","1"
"35E5E7E5","20220819","1"
"35E5E7E5","20220822","1"
"35E5E7E5","20220823","1"
"35E5E7E5","20220824","1"
"35E5E7E5","20220825","1"
"35E5E7E5","20220826","1"
"35E5E7E5","20220829","1"
"35E5E7E5","20220830","1"
"35E5E7E5","20220831","1"
"35E5E7E5","20220901","1"
"35E5E7E5","20220902","1"
"71F9440D","20220812","1"
"0D729BCC","20220808","1"
"0D729BCC","20220809","1"
"0D729BCC","20220810","1"
"0D729BCC","20220811","1"
"0D729BCC","20220812","1"
"524FA334","20220805","1"
"524FA334","20220815","1"
"524FA334","20220816","1"
"524FA334","20220817","1"
"524FA334","20220818","1"
"524FA334","20220819","1"
"524FA334","20220822","1"
"524FA334","20220823","1"
"524FA334","20220824","1"
"524FA334","20220825","1"
"524FA334","20220826","1"
"524FA334","20220829","1"
"524FA334","20220830","1"
"524FA334","20220831","1"
"524FA334","20220901","1"
"524FA334","20220902","1"
"E81436EE","20220808","1"
"E81436EE","20220809","1"
"E81436EE","20220810","1"
"E81436EE","20220815","1"
"E81436EE","20220816","1"
"E81436EE","20220817","1"
"E81436EE","20220822","1"
"E81436EE","20220823","1"
"E81436EE","20220824","1"
"E81436EE","20220829","1"
"E81436EE","20220830","1"
"E81436EE","20220831","1"
"6822A32C","20220805","1"
"6822A32C","20220808","1"
"6822A32C","20220809","1"
"6822A32C","20220810","1"
"6822A32C","20220811","1"
"6822A32C","20220812","1"
"1CF701F4","20220815","1"
"1CF701F4","20220816","1"
"1CF701F4","20220817","1"
"1CF701F4","20220818","1"
"1CF701F4","20220819","1"
"1CF701F4","20220822","1"
"1CF701F4","20220823","1"
"1CF701F4","20220824","1"
"1CF701F4","20220825","1"
"1CF701F4","20220826","1"
"1CF701F4","20220829","1"
"1CF701F4","20220830","1"
"1CF701F4","20220831","1"
"1CF701F4","20220901","1"
"1CF701F4","20220902","1"
"F502097E","20220805","1"
"F502097E","20220808","1"
"F502097E","20220809","1"
"F502097E","20220811","1"
"F502097E","20220812","1"
"F502097E","20220815","1"
"F502097E","20220816","1"
"F502097E","20220817","1"
"F502097E","20220818","1"
"F502097E","20220819","1"
"F502097E","20220822","1"
"F502097E","20220823","1"
"F502097E","20220824","1"
"F502097E","20220825","1"
"F502097E","20220826","1"
"F502097E","20220829","1"
"F502097E","20220830","1"
"F502097E","20220831","1"
"F502097E","20220901","1"
"F502097E","20220902","1"
"1FC2C604","20220810","1"
"2178BE06","20220805","1"
"2178BE06","20220808","1"
"2178BE06","20220809","1"
"2178BE06","20220811","1"
"2178BE06","20220812","1"
"2178BE06","20220815","1"
"2178BE06","20220816","1"
"2178BE06","20220817","1"
"2178BE06","20220818","1"
"2178BE06","20220819","1"
"2178BE06","20220822","1"
"2178BE06","20220823","1"
"2178BE06","20220825","1"
"2178BE06","20220826","1"
"2178BE06","20220829","1"
"2178BE06","20220830","1"
"2178BE06","20220831","1"
"2178BE06","20220901","1"
"2178BE06","20220902","1"
"AB8B6660","20220808","1"
"AB8B6660","20220809","1"
"AB8B6660","20220811","1"
"AB8B6660","20220812","1"
"AB8B6660","20220815","1"
"AB8B6660","20220816","1"
"AB8B6660","20220817","1"
"AB8B6660","20220818","1"
"AB8B6660","20220819","1"
"AB8B6660","20220822","1"
"AB8B6660","20220823","1"
"AB8B6660","20220825","1"
"AB8B6660","20220826","1"
"AB8B6660","20220829","1"
"AB8B6660","20220830","1"
"AB8B6660","20220831","1"
"AB8B6660","20220901","1"
"AB8B6660","20220902","1"
"63406D25","20220805","1"
"63406D25","20220809","1"
"63406D25","20220810","1"
"63406D25","20220811","1"
"63406D25","20220812","1"
"63406D25","20220815","1"
"63406D25","20220816","1"
"63406D25","20220817","1"
"63406D25","20220819","1"
"63406D25","20220822","1"
"63406D25","20220823","1"
"63406D25","20220824","1"
"63406D25","20220825","1"
"63406D25","20220826","1"
"63406D25","20220829","1"
"63406D25","20220830","1"
"63406D25","20220831","1"
"63406D25","20220901","1"
"63406D25","20220902","1"
"A72FCE22","20220818","1"
"2D756B88","20220806","1"
"2D756B88","20220813","1"
"2D756B88","20220814","1"
"2D756B88","20220820","1"
"2D756B88","20220821","1"
"2D756B88","20220827","1"
"2D756B88","20220828","1"
"2D756B88","20220903","1"
"2D756B88","20220904","1"
"2D756B88","20220905","1"
